Year,GEO,Y,K,L,ln_Y,ln_K,ln_L,ln_A,TFP,Labor_Productivity,TFPR,z_i,K_e,L_e,K_Gap,L_Gap
2023,Newfoundland and Labrador,35482,278562,0.2646,10.476780804620594,12.537395934757976,-1.3295360273012817,7.692705332308958,2192.2974400348926,134096.74981103552,1879.1491687145453,59253.435838744226,631364.2624586612,1.3129870850187328,-352802.2624586612,-1.048387085018733
2023,Prince Edward Island,9401,24647,0.0962,9.148571345578551,10.112410468210365,-2.3413259213104762,7.795508820674059,2429.6653739870503,97723.49272349273,2115.58265535139,68626.98971324998,731242.4694321739,1.520694115062481,-706595.4694321739,-1.424494115062481
2023,Nova Scotia,62242,184790,0.5396,11.03878529201209,12.126975324171472,-0.6169271546485363,7.87524652022115,2631.334787583434,115348.4062268347,2283.8046655832536,76906.99946821171,819468.6149390591,1.7041694818189395,-634678.6149390591,-1.1645694818189396
2023,New Brunswick,46467,146789,0.4159,10.746497662215868,11.89675146047491,-0.8773104322332711,7.834395408039149,2526.0078435673054,111726.37653282039,2191.653827315699,72547.25633737829,773014.1609931494,1.607562654826462,-626225.1609931494,-1.1916626548264622
2023,Quebec,487555,1653368,4.7344,13.097158383569104,14.318324977555116,1.5548550026638082,7.756032776323763,2335.62027289601,102981.37039540385,2026.705419458942,64863.92048119128,691145.766234313,1.4373088863110077,962222.233765687,3.2970911136889924
2023,Ontario,911581,2847104,8.483799999999999,13.72293573366169,14.861812895273347,2.1381584626386196,7.810317907236411,2465.914242672069,107449.6098446451,2140.7135525673457,70094.3177360978,746877.3176366132,1.5532083940441823,2100226.6823633867,6.930591605955817
2023,Manitoba,82385,327403,0.7431,11.319158660491532,12.698947106980429,-0.2969246538187135,7.76087095234094,2346.947795062447,110866.63975238864,2031.2808582564155,65313.79203790871,695939.2911934566,1.4472775157335238,-368536.2911934566,-0.7041775157335238
2023,Saskatchewan,77634,555809,0.616,11.259760754544008,13.228179989034572,-0.4845083154486173,7.676413797155991,2156.8709090670977,126029.22077922078,1851.9552774171282,57890.31766851319,616839.8034798761,1.2827819749262404,-61030.80347987614,-0.6667819749262404
2023,Alberta,318014,2797048,2.5955,12.669850685950468,14.844075133281034,0.9537791762851466,7.595529104318449,1989.2821108536227,122525.13966480448,1704.6898461544097,51573.11885539998,549528.0347530742,1.1428002112073197,2247519.965246926,1.4526997887926802
2023,British Columbia,362779,1442604,3.0039,12.801549112416623,14.181960371819251,1.0999114443997298,7.82086093574682,2492.0499796531653,120769.33320017312,2154.801661593154,71158.0315892393,758211.5280979853,1.576779053391789,684392.4719020147,1.4271209466082109
2023,Yukon,4560,24694,0.0259,8.425077902508432,10.11431557812769,-3.653512310276645,7.9943778375178205,2964.2455808390437,176061.77606177607,2543.6324340190877,91175.34210799835,971502.3577888862,2.020339326579439,-946808.3577888862,-1.994439326579439
2023,Northwest Territories,5586,45633,0.0252,8.628018746505122,10.728386417979852,-3.6809112844647593,8.03442627683739,3085.368187405425,221666.66666666666,2628.758427412223,96543.77622040304,1028704.7359456654,2.1392975702084507,-983071.7359456654,-2.114097570208451
2023,Nunavut,4715,39008,0.0161,8.458504195067558,10.571522032280997,-4.12893600699172,8.226564025167066,3738.964667327177,292857.14285714284,3175.335052357189,127037.08385393434,1353620.6570470866,2.814993730871431,-1314612.6570470866,-2.798893730871431
